AGEP,SCHL,MAR,RELP,DIS,ESP,CIT,MIG,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,SEX,RAC1P,ESR
14.0,10.0,0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0
5.0,2.0,0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,1,9.0,0
70.0,21.0,1,1.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0
29.0,21.0,1,0.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2,1.0,0
24.0,16.0,0,13.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0
62.0,16.0,1,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2,1.0,0
55.0,21.0,1,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1,1.0,0
77.0,21.0,1,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2,1.0,0
40.0,14.0,0,2.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1
60.0,16.0,0,13.0,2.0,0.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2,1.0,0
21.0,19.0,0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2,1.0,1
27.0,22.0,1,0.0,2.0,0.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2,1.0,1
61.0,16.0,1,1.0,2.0,0.0,5.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1,6.0,0
24.0,21.0,0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0
13.0,9.0,0,2.0,2.0,5.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2,1.0,0
75.0,21.0,1,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1,1.0,0
5.0,1.0,0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,1,1.0,0
53.0,21.0,1,9.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1,1.0,1
15.0,12.0,0,4.0,2.0,1.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,2.0,1,8.0,0
